lon;lat;bio_1;bio_2;bio_3;bio_4;bio_5;bio_6;bio_7;bio_8;bio_9;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19;abund_sp1;abund_sp2;abund_sp4
12,65416666666667;60,0791666666667;3,72500014305115e+00;9,03333377838135;29,5206966400146;792,173339843750;20,70000076293945;-9,899999618530272;30,6000003814697;13,8000001907348633;-1,84999990463257e+00;13,80000019073486;-5,7999997138977051;884;93;46;22,9236927032471;270;155;270;180;5;0;709
25,00416666666666;63,4208333333333;2,52916669845581e+00;8,29166698455811;24,4591941833496;903,547180175781;21,10000038146973;-12,800000190734863;33,9000015258789;14,1166667938232422;-3,95000004768372e+00;14,11666679382324;-8,3000001907348633;580;79;27;34,6953201293945;214;90;214;104;3;0;53
19,77083333333333;63,8625000000000;3,03750014305115e+00;8,22500038146973;25,5434780120850;867,593627929688;20,20000076293945;-12,000000000000000;32,2000007629395;12,8166666030883807;-3,28333330154419e+00;14,11666679382324;-7,3333330154418945;675;83;32;29,7374935150146;228;111;216;140;28;0;318
26,13750000000000;58,3375000000000;5,65000009536743e+00;7,39999961853027;23,7942104339600;838,692138671875;22,50000000000000;-8,600000381469727;31,1000003814697;14,8999996185302717;-9,00000095367432e-01;16,21666717529297;-4,3333334922790527;643;78;32;30,8295230865479;221;97;213;122;532;0;0
15,11250000000000;56,8458333333333;5,92916679382324e+00;8,05833339691162;30,7569961547852;673,840637207031;20,89999961853027;-5,300000190734863;26,2000007629395;13,5333328247070312;6,83333277702332e-01;14,60000038146973;-1,8500000238418579;681;74;39;19,6481475830078;204;125;198;152;1165;0;0
15,68750000000000;56,6458333333333;6,36666679382324e+00;7,86666679382324;30,3732299804688;664,855895996094;21,10000038146973;-4,800000190734863;25,9000015258789;6,8166666030883789;1,03333330154419e+00;14,96666717529297;-1,2500000000000000;659;68;39;18,0046043395996;194;125;176;161;414;0;0
30,83750000000000;63,4708333333333;1,52083337306976e+00;7,87500000000000;21,9972057342529;989,436157226562;20,70000076293945;-15,100000381469728;35,8000030517578;12,1999998092651367;-5,34999990463257e+00;14,14999961853027;-10,4833335876464844;626;78;31;31,6548099517822;222;98;219;117;0;0;139
17,39583333333334;62,5125000000000;3,41250014305115e+00;8,67500019073486;27,3659305572510;841,046752929688;20,29999923706055;-11,399999618530272;31,6999988555908;12,8500003814697283;-2,48333334922791e+00;14,14999961853027;-6,7500000000000000;631;70;31;27,0147876739502;207;110;193;125;67;0;21
30,08750000000000;67,1208333333333;-1,12083339691162e+00;8,45833301544189;22,4358978271484;1005,490478515625;18,79999923706055;-18,899999618530273;37,6999969482422;11,5333328247070312;-8,09999942779541e+00;11,53333282470703;-13,3333330154418963;584;83;28;34,9720001220703;217;91;217;100;0;0;1
16,52083333333334;58,5875000000000;6,44166660308838e+00;8,55000019073486;30,3191490173340;722,410217285156;22,29999923706055;-5,900000095367432;28,1999988555908;14,6166667938232422;8,66666734218597e-01;15,79999923706055;-1,9833333492279053;593;69;31;26,1016235351562;193;105;184;126;40;0;0
27,31250000000000;60,5875000000000;4,33333349227905e+00;7,00000000000000;22,2222213745117;887,420471191406;21,20000076293945;-10,300000190734863;31,5000000000000;10,1499996185302717;3,13333344459534e+00;15,60000038146973;-6,3333334922790527;667;79;33;30,6982269287109;224;109;194;146;1037;0;4
12,97916666666667;62,8208333333333;6,16666674613953e-01;9,98333358764648;30,8127574920654;804,188842773438;17,29999923706055;-15,100000381469728;32,4000015258789;10,7500000000000000;-4,83333349227905e+00;10,75000000000000;-9,1000003814697283;581;89;29;36,8361320495605;220;89;220;114;0;0;34
29,27083333333333;59,1041666666667;4,67916679382324e+00;7,85833311080933;24,4047622680664;873,754821777344;21,29999923706055;-10,899999618530272;32,1999969482422;13,9166660308837873;-1,31666648387909e+00;15,61666679382324;-5,9666666984558105;695;88;33;31,4343223571777;246;109;239;130;558;0;12
28,29583333333333;68,1958333333333;-2,23333334922791e+00;7,96666669845581;22,6970558166504;936,381652832031;17,00000000000000;-18,100000381469727;35,0999984741211;10,2833328247070312;-8,81666660308838e+00;10,28333282470703;-12,8500003814697283;574;77;30;34,6292953491211;216;94;216;99;0;0;0
18,01250000000000;64,2958333333333;1,03750002384186e+00;7,49166679382324;24,5628414154053;836,168518066406;18,00000000000000;-12,500000000000000;30,5000000000000;11,9333333969116193;-4,81666660308838e+00;11,93333339691162;-8,6499996185302734;646;99;31;37,5511093139649;248;100;248;119;0;0;136
15,51250000000000;65,0541666666667;1,20833322405815e-01;8,17500019073486;26,1182098388672;821,811889648438;17,20000076293945;-14,100000381469728;31,3000011444092;10,8166666030883807;-1,36666655540466e+00;10,81666660308838;-9,2666664123535156;844;113;42;29,6318092346191;291;140;291;184;0;0;0
12,22083333333333;61,5041666666667;2,91666746139526e-01;9,98333358764648;30,0702819824219;837,986877441406;18,00000000000000;-15,199999809265137;33,2000007629395;10,8833332061767578;-5,50000000000000e+00;10,88333320617676;-9,8166666030883807;781;94;33;32,3233757019043;268;118;268;133;0;0;11
16,67916666666667;65,2375000000000;2,62499988079071e-01;9,04166698455810;25,6865520477295;920,518920898438;18,20000076293945;-17,000000000000000;35,2000007629395;11,7833337783813477;-5,93333339691162e+00;11,78333377838135;-11,0500001907348633;558;91;25;42,5668487548828;226;81;226;102;0;0;37
17,63750000000000;68,1708333333333;-6,16666615009308e-01;6,25000000000000;23,3208961486816;733,225524902344;14,30000019073486;-12,500000000000000;26,7999992370605;4,7166666984558105;1,93333327770233e+00;9,11666679382324;-8,5666666030883789;752;81;38;22,8334693908691;229;131;200;206;0;0;4
15,21250000000000;64,9125000000000;-1,24999852851033e-02;7,94166660308838;25,8686218261719;799,102111816406;17,00000000000000;-13,699999809265137;30,7000007629395;10,5166664123535156;-1,68333327770233e+00;10,51666641235352;-9,0000000000000000;849;103;39;24,5256214141846;267;141;267;215;0;0;0
18,70416666666667;66,0541666666667;-7,79166698455811e-01;9,34166717529297;24,7789554595947;1013,236145019531;18,60000038146973;-19,100000381469727;37,7000007629395;12,0333337783813477;-7,36666679382324e+00;12,03333377838135;-13,0666666030883807;588;89;25;39,9909095764160;230;82;230;105;0;0;3
16,53750000000000;60,3208333333333;5,04583311080933e+00;8,80833339691162;29,1666660308838;771,145690917969;21,89999961853027;-8,300000190734863;30,2000007629395;13,6333332061767578;-3,25000000000000e+00;15,01666641235352;-4,0333333015441895;646;77;30;28,3684654235840;222;112;217;123;383;0;1
20,32916666666667;65,5958333333333;9,70833361148834e-01;9,40833282470703;27,0354404449463;921,916137695312;19,79999923706055;-15,000000000000000;34,7999992370605;12,9166669845581037;-5,26666641235352e+00;12,91666698455810;-9,8500003814697283;590;85;29;36,0795173645020;221;91;221;108;0;0;76
22,69583333333333;60,4458333333333;4,85416650772095e+00;8,15833377838135;25,9819526672363;822,027587890625;21,50000000000000;-9,899999618530272;31,3999996185303;13,8833332061767578;3,66666674613953e+00;15,35000038146973;-4,9000000953674316;674;79;35;29,1168594360352;221;111;209;150;687;0;16
14,98750000000000;65,9291666666667;-2,29166612029076e-01;7,89166688919067;25,5393733978271;799,754089355469;16,20000076293945;-14,699999809265137;30,9000015258789;5,4499998092651367;3,31666660308838e+00;10,05000019073486;-9,6999998092651367;763;82;29;28,4319553375244;231;113;204;221;0;0;61
29,35416666666667;58,2208333333333;4,94166660308838e+00;8,05000019073486;22,8693180084229;874,655334472656;22,50000000000000;-12,699999809265137;35,2000007629395;14,0500001907348633;-9,33333337306976e-01;15,80000019073486;-5,7666668891906738;716;86;37;26,3205013275146;240;120;236;142;1674;0;8
30,02083333333333;64,9208333333333;8,24999988079071e-01;8,56666660308838;23,1531524658203;992,868896484375;20,50000000000000;-16,500000000000000;37,0000000000000;11,5666666030883807;-5,86666679382324e+00;13,50000000000000;-11,2666664123535156;561;73;27;33,2345466613770;205;89;203;99;0;0;14
23,08750000000000;68,5291666666667;-2,21666669845581e+00;8,76666641235352;23,8224639892578;1007,129882812500;17,29999923706055;-19,500000000000000;36,7999992370605;10,8999996185302717;-9,13333320617676e+00;10,89999961853027;-13,9499998092651367;442;72;21;46,8348617553711;186;65;186;67;0;0;0
18,19583333333333;59,1958333333333;6,16249990463257e+00;7,24166679382324;26,9206943511963;714,595031738281;21,20000076293945;-5,699999809265137;26,9000015258789;14,5166664123535156;3,16666692495346e-01;15,45000076293945;-2,0333333015441895;605;69;31;26,9295711517334;193;104;188;132;77;0;0
23,02916666666667;61,6625000000000;3,62083339691162e+00;8,32499980926514;25,8540363311768;846,424194335938;21,20000076293945;-11,000000000000000;32,2000007629395;12,7000007629394513;-2,76666665077209e+00;14,46666717529297;-6,4333333969116211;665;83;34;29,7509727478027;232;111;223;134;21;0;388
8,97916666666667;60,0458333333333;5,16666650772095e-01;7,68333339691162;28,0413627624512;726,192871093750;16,00000000000000;-11,399999618530272;27,3999996185303;8,8000001907348633;-4,83333349227905e+00;10,05000019073486;-7,6500000953674316;856;96;43;27,0097694396973;274;144;273;164;0;0;1
15,48750000000000;63,5875000000000;1,88750004768372e+00;8,59166717529297;26,7653160095215;837,138305664062;19,10000038146973;-13,000000000000000;32,0999984741211;12,6000003814697283;-3,56666660308838e+00;12,60000038146973;-8,1666669845581055;563;92;24;42,5141487121582;227;79;227;98;0;0;33
24,77916666666667;61,7041666666667;3,60833311080933e+00;7,93333339691162;24,1134757995605;889,501464843750;21,29999923706055;-11,600000381469728;32,9000015258789;13,1333332061767578;-3,01666665077209e+00;14,98333263397217;-7,0666666030883789;609;81;28;34,2428741455078;221;95;218;115;28;0;31
25,27083333333333;67,4208333333333;-9,29166674613953e-01;8,84166717529297;23,3906536102295;1022,397949218750;18,79999923706055;-19,000000000000000;37,7999992370605;12,1499996185302717;-1,16833333969116e+01;12,14999961853027;-13,2500000000000000;536;79;26;38,0696067810059;208;88;208;91;0;0;7
5,96250000000000;58,4208333333333;7,71250009536743e+00;5,07500028610229;27,2849464416504;497,101257324219;17,70000076293945;-0,899999976158142;18,6000003814697;8,8000001907348633;9,19999980926514e+00;13,86666679382324;2,0333333015441895;1490;191;70;32,8400688171387;528;219;291;370;0;0;0
